keyword,rank,search_account,note_id,note_url,title,desc,type,author_id,nickname,liked_count,collected_count,comment_count,share_count,target_brand,target_brand_emotion,target_brand_keywords
缕灵,1,,66ad7e4200000000270117bb,https://www.xiaohongshu.com/explore/66ad7e4200000000270117bb?xsec_token=AB-4muju2j2pYKxPuO0V1LPGck8nrz6IoS34sttfs4SzE=&xsec_source=pc_search,油头姐妹～千万别碰～缕灵洗发水,"#洗发露[话题]# #油头洗发水[话题]# #缕灵洗发水[话题]#
缕灵真的是失望到极点。
本来看大网红潘小姐玩命推说是细软塌有用，增粗发丝。结果简直就是个坑，还不便宜。本人从小细软塌。一听见这个词太感兴趣了，（中间那个油头很冷门连用三瓶。还便宜）为啥缕灵洗发水不好用，我从小细软但是头皮一直很注重健康，我头发油但是从来不痒，这个2-3天不洗就会很痒，从来不会长头屑这个会长。但是确实有蓬松的效果，很难起泡沫，和黑卡#卡诗黑钻洗发水[话题]# 没法比较#日用品分享[话题]# #缕灵洗发水[话题]# #缕灵丰盈蓬松洗护[话题]# 作为一个#油头[话题]# 真的希望同款姐妹不要踩坑啦，风太大，做成这样很失望。",normal,5919bd3a6a6a6943496c4ad5,🎀婉🎀,13.0,3.0,6.0,1.0,Living Proof,负向,"失望, 坑, 不好用, 痒, 长头屑, 风太大, 失望"
缕灵,2,,68304ce3000000002002a58f,https://www.xiaohongshu.com/explore/68304ce3000000002002a58f?xsec_token=ABJW56OqCz74Lv41MHgfdw__w-J197T-lnxl64K_5cueU=&xsec_source=pc_search,扒第3/100款洗发水需求文档解密“陷阱”,"#行之有晓[话题]#
缕*L这款洗发水是他们品牌大单品了
品牌口碑也是蛮不错的
	
包装看着平平无奇
在想为啥它能卖200块一瓶洗发水
品牌全线都是无硅油配方
试用之后 和某些国货无硅油真是有差异的
洗感上没有干的完全搓不开头发
惊喜的是冲水后的轻松感
	
没有因为无硅油找代替成分达到顺滑感（比如聚季铵盐-10）
而且在配方设计上面
不是以强清洁强控油为核心
搭配了多糖植物控油成分
考虑到去脂过程中的水分保湿
	
用下来两次洗感确实不错
长期使用可能会头皮健康吧
em有待测试考察
#缕灵洗发水[话题]# #缕灵[话题]# #洗发水测评[话题]#",normal,5ad682f311be101be24edcbd,开妆镜也,14.0,5.0,4.0,1.0,Living Proof,正向,"无硅油配方, 冲水轻松"
缕灵,5,,68131640000000000d01467e,https://www.xiaohongshu.com/explore/68131640000000000d01467e?xsec_token=ABPlBA1cLpzvg__1MmwEcYeJamr_p31i0wCq0TCd7X9yE=&xsec_source=pc_search,🛒缕灵2折大羊毛！！细软塌的神！,"🇺🇸高端小众洗发水livingproof
专为细软塌和油头设计
蓬蓬肽黑科技护发 秒get轻盈高颅顶！
	
外观设计：简约而不失高雅，瓶身设计时尚大方，手感舒适，易于抓握。按压开盖设计，控制用量不易漏。
	
功能特点：氨基酸表活，能够深层清洁头皮，有效去油止痒，同时补充发丝所需营养，让头发丰盈蓬松。
质地轻盈，易于起泡，泡沫丰富细腻，能深入发根清洁。
	
使用体验：使用后头发清爽度大大提升，维持时间长，控油蓬松效果显著，持续48小时不是问题，且不刺激头皮。尤其对于细软塌大油头来说，真的值得一试。
	
清仓[购物车R]2折，79就能把正装带回家，囤货装性价比更高，全家都能一起用！
	
#livingproof洗发水[话题]# #livingproof[话题]##控油洗发水[话题]##蓬松洗发水[话题]##护发洗发水[话题]# #细软塌必备[话题]# #看得见的肽蓬松力[话题]# #洗发水清仓捡漏[话题]# #进口洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]#",normal,62e8b5ab000000001501ae8e,小甜蜜丸子,5.0,3.0,1.0,2.0,Living Proof,正向,"高端小众, 细软塌的神, 蓬蓬肽黑科技, 秒get轻盈高颅顶, 简约而不失高雅, 时尚大方, 手感舒适, 易于抓握, 控制用量不易漏, 深层清洁头皮, 有效去油止痒, 补充发丝所需营养, 丰盈蓬松, 质地轻盈, 易于起泡, 泡沫丰富细腻, 深入发根清洁, 清爽度大大提升, 维持时间长, 控油蓬松效果显著, 持续48小时, 不刺激头皮, 值得一试, 性价比更高"
缕灵,6,,67c06a5800000000290302d1,https://www.xiaohongshu.com/explore/67c06a5800000000290302d1?xsec_token=ABFzU5POmQxFWkg-ZaBkjnGBPNE4TuwqiBj7UctSvslVs=&xsec_source=pc_search,我要疯狂安利这个免洗头喷雾！,"Livingproof缕灵免洗干发喷雾
真的好用！！！
我三四天没洗头了 喷完非常干爽蓬松！而且没有白白的粉末！
不是广啊！我自己无意间买的百货新年盲盒里的 意外的好好用啊！早八人又可以不用早起洗头延长一天了！[doge]
	
#免洗喷雾[话题]# #干发喷雾[话题]# #干发喷雾[话题]# #控油蓬松[话题]#",normal,564f6c54e58d1376b466ed7f,小糖豆子,6.0,1.0,6.0,0.0,Living Proof,正向,"好用, 干爽, 蓬松, 没有白白的粉末, 意外的好好用"
缕灵,9,,6808c35c000000001d023633,https://www.xiaohongshu.com/explore/6808c35c000000001d023633?xsec_token=ABUqEyatBfHcEoiu_lbguLkKjFxfy8sLzKGscBY_M5aos=&xsec_source=pc_search,任何人没试过缕灵我都会伤心💔的,"MIT研发的洗发水2折清仓！
油头/毛躁党速冲！
油扁塌的痛我太懂了😭
早上洗头下午就油成条形码
但！今天这波清仓必须按头安利！
Living Proof官网2折大漏！
正装洗发水79带走！
效期还有好几个月用完足够了
原本255！这价格错过真的要哭晕惹！
---
🔥 油塌星人闭眼入👉丰盈蓬松款
添加专研蓬蓬肽，细软塌也能拥有高颅顶！
🔥 炸毛暗哑救星👉每日圆满款
黑科技顺滑防护膜，喂饱干枯发重焕光泽！
---
美国高端小众黑科技洗护
都是无硅油氨基酸配方
min头也放心入手！
	
#看得见的肽蓬松力[话题]# #控油蓬松[话题]# #护发如护肤[话题]# #livingproof洗发水[话题]# #livingproof[话题]# #缕灵洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #缕灵每日圆满洗护[话题]# #洗发水清仓捡漏[话题]# #细软塌洗发水推荐[话题]#",normal,62790ce6000000001501745f,bellaaaa,6.0,0.0,1.0,0.0,Living Proof,正向,"丰盈蓬松, 顺滑防护, 重焕光泽"
缕灵,11,,665a9c89000000001303fd75,https://www.xiaohongshu.com/explore/665a9c89000000001303fd75?xsec_token=ABeRnaLlXzZy1v4Qd0jS3kUII5H9PkHkuz7JPU_MitFXU=&xsec_source=pc_search,可以说是智商税吧。。。,跟着红🍠买的，真的好难用，洗完后感觉头发都被油糊住了，是那种硅油堆积的感觉，用一次闹心一次，不知道吹它蓬松控油是怎么来的[失望R][失望R][失望R]#livingproof[话题]# #控油蓬松[话题]# #livingproof洗发水[话题]# #livingproof缕灵[话题]#,normal,55a35ea9e4b1cf708aa7ab16,我爱小黑熊,8.0,0.0,19.0,3.0,Living Proof,负向,"智商税, 难用, 油糊住了, 硅油堆积, 闹心"
缕灵,12,,67a8a6c5000000002901b794,https://www.xiaohongshu.com/explore/67a8a6c5000000002901b794?xsec_token=ABP6sBLMooGAF4DvcH45JN5m85H11NT_bq9B8-ZM8c1aE=&xsec_source=pc_search,200多的livingproof,"静安消费券交作业了
临期产品打六折，正好需要洗发水！在打折货架的角落发现这最后一瓶。转了半个小时，终于搞定了[笑哭R]
	
#livingproof[话题]# #livingproof洗发水[话题]# #静安消费券[话题]#  #静安消费券作业[话题]# #丝芙兰[话题]#",normal,55658085f5a26326be23e17b,Jade_JJJ,3.0,0.0,1.0,2.0,Living Proof,正向,需要
缕灵,13,,67c5a890000000000d017efa,https://www.xiaohongshu.com/explore/67c5a890000000000d017efa?xsec_token=ABEPYSviA9itOCtC4wclvr0nBNDLM_zf5UhY0lArfxcPY=&xsec_source=pc_search,产后三个月漂发护理产品实测,"威娜夜间精华乳：自己使用下来并没有感觉发丝很顺滑，但是对修复断发挺不错的，漂完断发情况减少很多
缕灵免洗护发乳：一般 无功无过
k18免洗发膜：传闻对漂发可以起到深度修复，其核心成分是k18肽，是一种仿生肽，能够深入修复头发角蛋白结构，可能需要长期使用，目前使用两次，效果还没有特别明显
epres修复液：会回购的产品。浓浓的精华包裹头发过夜，心理层面起到了很好的安慰作用
philipb头皮预洗精华：听到精华就走不动道，虽然洗头步骤会麻烦了点，但我的产后脱发没有很严重，不知道和这个有没有关系
olaplex4号5号:漂发必入，已经是家里囤货了#护发养发[话题]# #头皮精华[话题]# #护发心得分享[话题]# #干枯毛躁好物[话题]# #护发如护肤[话题]# #洗护[话题]# #护发好物[话题]# #护发养发头发护理[话题]# #自己在家漂发[话题]#",normal,61e03b0a0000000021020fec,玉米粒,203.0,59.0,13.0,4.0,Living Proof,中立,"一般, 发尾干涩"
缕灵,14,,682402ec0000000022025469,https://www.xiaohongshu.com/explore/682402ec0000000022025469?xsec_token=ABt0A-ZxoXzbj07el-1f8LQGk5dCqW7OCae66kEh0O3Zw=&xsec_source=pc_search,35💰了❗️去油蓬松是真的很绝❗️,"用过的都爱吧～
源价是真贵，清仓还不错
数量不多，去冲去冲～
#清仓特价[话题]# #洗发水测评[话题]# #控油蓬松[话题]# #洗发水红榜[话题]# #蓬松洗发水[话题]# #控油洗发水[话题]# #干发喷雾[话题]# #livingproof[话题]# #缕灵[话题]# #临期美妆[话题]# #护发养发[话题]# #回购清单[话题]#",normal,60f39e750000000001004f6e,每天想退休,2.0,1.0,0.0,1.0,Living Proof,正向,"回购, 护发养发"
缕灵,15,,683329c800000000210004b8,https://www.xiaohongshu.com/explore/683329c800000000210004b8?xsec_token=ABy2dVmpkkcFW_na3CHReDCewGRruOtm0l6LrfSzZEuYI=&xsec_source=pc_search,大油头直接冲它就完事了！！,"大油头表示很贼爱living proof
空瓶很多个了！
再油的头也能稳稳控油！清清爽爽～
	
挤出来是比较浓稠的啫喱
湿手就能搓出超免密丰富的泡沫
发丝根根分明 摸起来软软的
从视觉效果上头发层变厚！
香味是清新的花果香调
夏天就需要这种淡雅的香型～
而且坚持用 发丝会变厚变强韧！
除了小贵没毛病～
但现在直接打到3折！现在不冲更待何时[害羞R]
	
#油头救星[话题]# #防脱控油洗发水[话题]# #控油蓬松[话题]# #油头洗发水[话题]# #洗发水控油蓬松[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #缕灵洗发水[话题]# #洗发水[话题]#",normal,62790ce6000000001501745f,bellaaaa,1.0,1.0,3.0,0.0,Living Proof,正向,"控油, 清新香味, 发丝柔软"
